kind,wall_time,elapsed_s,arrival_gap_ms,source_gap_ms,px4_timestamp_us,agent_pid,agent_restarts,agent_active,load1,wlan_rx_packets,wlan_rx_dropped,wlan_tx_packets,wlan_tx_dropped,softnet_dropped_total,status,failsafe
sensor_combined,2026-08-07T14:58:25.609+08:00,8.162,32.1554259999175,90.016,1044706470,1667,0,active,1.4,,,,,0,,
failsafe_flags,2026-08-07T14:58:25.639+08:00,8.192,,,1044810783,1667,0,active,1.4,,,,,0,,"{'gcs_connection_lost': True, 'manual_control_signal_lost': True, 'offboard_control_signal_lost': True}"
sensor_combined,2026-08-07T14:58:25.670+08:00,8.223,60.504799000000276,22.504,1044728974,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.701+08:00,8.254,30.87382300009267,67.513,1044796487,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.731+08:00,8.284,30.75956799989399,8.954,1044805441,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.764+08:00,8.315,30.529362000152105,22.504,1044827945,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.795+08:00,8.348,33.21584900004382,67.511,1044895456,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.826+08:00,8.378,30.39773000000423,9.002,1044904458,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.856+08:00,8.409,30.926244999818664,22.504,1044926962,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.887+08:00,8.441,31.414435999977286,81.015,1045007977,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.918+08:00,8.471,30.619902000125876,9.002,1045016979,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.947+08:00,8.501,30.006255999978748,9.001,1045025980,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.978+08:00,8.531,29.564471999947273,9.002,1045034982,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:26.007+08:00,8.561,30.412004000027082,22.504,1045057486,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:26.037+08:00,8.591,29.471722999915073,9.049,1045066535,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:26.067+08:00,8.620,29.162917000121524,8.954,1045075489,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:26.096+08:00,8.650,29.970283000011477,9.002,1045084491,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:26.125+08:00,8.679,29.43402400001105,13.502,1045097993,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:26.156+08:00,8.710,30.194407999942996,27.005,1045124998,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:26.186+08:00,8.740,30.710408999993888,9.049,1045134047,1667,0,active,1.4,,,,,0,,
failsafe_flags,2026-08-07T14:58:26.890+08:00,9.442,,,1045900434,1667,0,active,1.4,,,,,0,,"{'gcs_connection_lost': True, 'manual_control_signal_lost': True, 'offboard_control_signal_lost': True}"
sensor_combined,2026-08-07T14:58:26.923+08:00,9.476,735.3162710001016,1012.682,1046146729,1667,0,active,1.4,,,,,0,,
vehicle_status,2026-08-07T14:58:26.955+08:00,9.507,,,1045999298,1667,0,active,1.4,,,,,0,"{'arming_state': 1, 'nav_state': 4, 'failsafe': True}",
sensor_combined,2026-08-07T14:58:26.989+08:00,9.541,65.68929899981413,35.959,1046182688,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:27.021+08:00,9.574,32.42384400004994,4.501,1046187189,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:27.054+08:00,9.605,31.307989999959318,9.001,1046196190,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:27.086+08:00,9.638,32.99716600008651,9.002,1046205192,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:27.117+08:00,9.669,31.29419600008987,9.049,1046214241,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:27.148+08:00,9.700,31.069495999872743,31.458,1046245699,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:27.177+08:00,9.731,30.703817000130584,40.508,1046286207,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:27.207+08:00,9.761,29.608764999920822,22.503,1046308710,1667,0,active,1.4,,,,,0,,
