sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
435,1889899393120,43643.833,95.630,1786679015720803,reliable,1,1,4,4,0
436,1890003333477,43747.773,103.940,1786679015824746,reliable,1,1,4,4,0
437,1890099857407,43844.297,96.524,1786679015921267,reliable,1,1,4,4,0
438,1890203193668,43947.633,103.336,1786679016024605,reliable,1,1,4,4,0
439,1890299090925,44043.530,95.897,1786679016120497,reliable,1,1,4,4,0
440,1890403167029,44147.607,104.076,1786679016224615,reliable,1,1,4,4,0
441,1890499281954,44243.721,96.115,1786679016320695,reliable,1,1,4,4,0
442,1890603589678,44348.029,104.308,1786679016425005,reliable,1,1,4,4,0
443,1890699495031,44443.935,95.905,1786679016520907,reliable,1,1,4,4,0
444,1890803316826,44547.756,103.822,1786679016624722,reliable,1,1,4,4,0
445,1890901713363,44646.153,98.397,1786679016723121,reliable,1,1,4,4,0
446,1891005724314,44750.164,104.011,1786679016827136,reliable,1,1,4,4,0
447,1891118022050,44862.462,112.298,1786679016939457,reliable,1,1,4,4,0
448,1891200927448,44945.367,82.905,1786679017022340,reliable,1,1,4,4,0
449,1891319539107,45063.979,118.612,1786679017140951,reliable,1,1,4,4,0
450,1891402704294,45147.144,83.165,1786679017224118,reliable,1,1,4,4,0
451,1891518669628,45263.109,115.965,1786679017340080,reliable,1,1,4,4,0
452,1891602477836,45346.917,83.808,1786679017423893,reliable,1,1,4,4,0
453,1891699110878,45443.550,96.633,1786679017520520,reliable,1,1,4,4,0
454,1891803033442,45547.473,103.923,1786679017624447,reliable,1,1,4,4,0
455,1891901048239,45645.488,98.015,1786679017722460,reliable,1,1,4,4,0
456,1892004824240,45749.264,103.776,1786679017826238,reliable,1,1,4,4,0
457,1892100224137,45844.664,95.400,1786679017921632,reliable,1,1,4,4,0
458,1892203676240,45948.116,103.452,1786679018025085,reliable,1,1,4,4,0
459,1892300078326,46044.518,96.402,1786679018121491,reliable,1,1,4,4,0
460,1892404398081,46148.838,104.320,1786679018225810,reliable,1,1,4,4,0
461,1892499260968,46243.700,94.863,1786679018320668,reliable,1,1,4,4,0
462,1892602401945,46346.841,103.141,1786679018423814,reliable,1,1,4,4,0
463,1892719011201,46463.451,116.609,1786679018540422,reliable,1,1,4,4,0
464,1892802801636,46547.241,83.790,1786679018624214,reliable,1,1,4,4,0
465,1892899676500,46644.116,96.875,1786679018721085,reliable,1,1,4,4,0
466,1893003511124,46747.951,103.835,1786679018825061,reliable,1,1,4,4,0
467,1893099372080,46843.812,95.861,1786679018920781,reliable,1,1,4,4,0
468,1893203351006,46947.791,103.979,1786679019024761,reliable,1,1,4,4,0
469,1893299768638,47044.208,96.418,1786679019121175,reliable,1,1,4,4,0
470,1893403711390,47148.151,103.943,1786679019225141,reliable,1,1,4,4,0
471,1893500413380,47244.853,96.702,1786679019321825,reliable,1,1,4,4,0
472,1893604085149,47348.525,103.672,1786679019425496,reliable,1,1,4,4,0
473,1893718898340,47463.338,114.813,1786679019540308,reliable,1,1,4,4,0
474,1893802138988,47546.579,83.241,1786679019623552,reliable,1,1,4,4,0
475,1893899874759,47644.314,97.736,1786679019721316,reliable,1,1,4,4,0
476,1894004349042,47748.789,104.474,1786679019825760,reliable,1,1,4,4,0
477,1894099161520,47843.601,94.812,1786679019920565,reliable,1,1,4,4,0
478,1894202536078,47946.976,103.375,1786679020023946,reliable,1,1,4,4,0
479,1894299339150,48043.779,96.803,1786679020120751,reliable,1,1,4,4,0
480,1894403599025,48148.039,104.260,1786679020225011,reliable,1,1,4,4,0
481,1894500754872,48245.194,97.156,1786679020322163,reliable,1,1,4,4,0
482,1894605350818,48349.790,104.596,1786679020426763,reliable,1,1,4,4,0
483,1894719363226,48463.803,114.012,1786679020540773,reliable,1,1,4,4,0
484,1894802126983,48546.567,82.764,1786679020623538,reliable,1,1,4,4,0
485,1894899470931,48643.910,97.344,1786679020720885,reliable,1,1,4,4,0
486,1895003817496,48748.257,104.347,1786679020825238,reliable,1,1,4,4,0
487,1895119366097,48863.806,115.549,1786679020940775,reliable,1,1,4,4,0
488,1895207158009,48951.598,87.792,1786679021028613,reliable,1,1,4,4,0
489,1895299230918,49043.670,92.073,1786679021120645,reliable,1,1,4,4,0
490,1895405241260,49149.681,106.010,1786679021226659,reliable,1,1,4,4,0
491,1895499622796,49244.062,94.382,1786679021321037,reliable,1,1,4,4,0
492,1895603675430,49348.115,104.053,1786679021425088,reliable,1,1,4,4,0
493,1895699133855,49443.573,95.458,1786679021520548,reliable,1,1,4,4,0
494,1895803040277,49547.480,103.906,1786679021624455,reliable,1,1,4,4,0
495,1895919068539,49663.508,116.028,1786679021740485,reliable,1,1,4,4,0
496,1896001898873,49746.338,82.830,1786679021823309,reliable,1,1,4,4,0
497,1896099196091,49843.636,97.297,1786679021920610,reliable,1,1,4,4,0
498,1896203075131,49947.515,103.879,1786679022024483,reliable,1,1,4,4,0
499,1896299305980,50043.746,96.231,1786679022120714,reliable,1,1,4,4,0
500,1896403187723,50147.627,103.882,1786679022224605,reliable,1,1,4,4,0
501,1896500571910,50245.011,97.384,1786679022321987,reliable,1,1,4,4,0
502,1896605786709,50350.226,105.215,1786679022427201,reliable,1,1,4,4,0
503,1896700516210,50444.956,94.730,1786679022521925,reliable,1,1,4,4,0
504,1896807630700,50552.070,107.114,1786679022629091,reliable,1,1,4,4,0
505,1896900773414,50645.213,93.143,1786679022722178,reliable,1,1,4,4,0
506,1897005041887,50749.481,104.268,1786679022826476,reliable,1,1,4,4,0
507,1897099445973,50843.885,94.404,1786679022920856,reliable,1,1,4,4,0
