sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
216,4499331263324,21795.689,104.016,1786609866162448,reliable,1,1,4,4,0
217,4499412649854,21877.076,81.387,1786609866243827,reliable,1,1,4,4,0
218,4499517310135,21981.736,104.660,1786609866348497,reliable,1,1,4,4,0
219,4499626038209,22090.464,108.728,1786609866457216,reliable,1,1,4,4,0
220,4499730222555,22194.648,104.184,1786609866561408,reliable,1,1,4,4,0
221,4499827747076,22292.173,97.525,1786609866658932,reliable,1,1,4,4,0
222,4499911767323,22376.193,84.020,1786609866742957,reliable,1,1,4,4,0
223,4500025886127,22490.312,114.119,1786609866857075,reliable,1,1,4,4,0
224,4500129402174,22593.828,103.516,1786609866960589,reliable,1,1,4,4,0
225,4500225632653,22690.059,96.230,1786609867056822,reliable,1,1,4,4,0
226,4500329354219,22793.780,103.722,1786609867160541,reliable,1,1,4,4,0
227,4500418851201,22883.277,89.497,1786609867250035,reliable,1,1,4,4,0
228,4500522788965,22987.215,103.938,1786609867353987,reliable,1,1,4,4,0
229,4500627149783,23091.576,104.361,1786609867458335,reliable,1,1,4,4,0
230,4500731115571,23195.542,103.966,1786609867562300,reliable,1,1,4,4,0
231,4500826384119,23290.810,95.269,1786609867657571,reliable,1,1,4,4,0
232,4500930098775,23394.525,103.715,1786609867761284,reliable,1,1,4,4,0
233,4501027167989,23491.594,97.069,1786609867858366,reliable,1,1,4,4,0
234,4501131733456,23596.159,104.565,1786609867962921,reliable,1,1,4,4,0
235,4501224773908,23689.200,93.040,1786609868055964,reliable,1,1,4,4,0
236,4501328348511,23792.774,103.575,1786609868159535,reliable,1,1,4,4,0
237,4501414437646,23878.864,86.089,1786609868245628,reliable,1,1,4,4,0
238,4501518066794,23982.493,103.629,1786609868349255,reliable,1,1,4,4,0
239,4501627214211,24091.640,109.147,1786609868458396,reliable,1,1,4,4,0
240,4501730691624,24195.118,103.477,1786609868561877,reliable,1,1,4,4,0
241,4501825594018,24290.020,94.902,1786609868656781,reliable,1,1,4,4,0
242,4501929355674,24393.782,103.762,1786609868760545,reliable,1,1,4,4,0
243,4502026961826,24491.388,97.606,1786609868858146,reliable,1,1,4,4,0
244,4502130994546,24595.420,104.033,1786609868962180,reliable,1,1,4,4,0
245,4502226305041,24690.731,95.310,1786609869057491,reliable,1,1,4,4,0
246,4502330080938,24794.507,103.776,1786609869161267,reliable,1,1,4,4,0
247,4502428187652,24892.614,98.107,1786609869259377,reliable,1,1,4,4,0
248,4502531726363,24996.152,103.539,1786609869362906,reliable,1,1,4,4,0
249,4502626196443,25090.622,94.470,1786609869457382,reliable,1,1,4,4,0
250,4502729884107,25194.310,103.688,1786609869561110,reliable,1,1,4,4,0
251,4502826547269,25290.973,96.663,1786609869657742,reliable,1,1,4,4,0
252,4502930368434,25394.794,103.821,1786609869761558,reliable,1,1,4,4,0
253,4503025740322,25490.166,95.372,1786609869856929,reliable,1,1,4,4,0
254,4503130805029,25595.231,105.065,1786609869962024,reliable,1,1,4,4,0
255,4503227047570,25691.474,96.243,1786609870058238,reliable,1,1,4,4,0
256,4503330510336,25794.936,103.463,1786609870161694,reliable,1,1,4,4,0
257,4503414120320,25878.546,83.610,1786609870245309,reliable,1,1,4,4,0
258,4503518661041,25983.087,104.541,1786609870349862,reliable,1,1,4,4,0
259,4503625316789,26089.743,106.656,1786609870456501,reliable,1,1,4,4,0
260,4503728865387,26193.291,103.549,1786609870560050,reliable,1,1,4,4,0
261,4503826247228,26290.673,97.382,1786609870657428,reliable,1,1,4,4,0
262,4503929588394,26394.014,103.341,1786609870760768,reliable,1,1,4,4,0
263,4504025506109,26489.932,95.918,1786609870856694,reliable,1,1,4,4,0
264,4504129404183,26593.830,103.898,1786609870960586,reliable,1,1,4,4,0
265,4504224483871,26688.910,95.080,1786609871055669,reliable,1,1,4,4,0
266,4504329391634,26793.818,104.908,1786609871160577,reliable,1,1,4,4,0
267,4504428720442,26893.146,99.329,1786609871259907,reliable,1,1,4,4,0
268,4504512068539,26976.494,83.348,1786609871343259,reliable,1,1,4,4,0
